,volatile acidity,total sulfur dioxide,fixed acidity,pH,quality
145,0.67,141.0,8.1,3.17,5
146,0.68,94.0,5.8,3.54,5
147,0.49,88.0,7.6,3.11,5
148,0.49,30.0,6.9,3.42,6
149,0.4,43.0,8.2,3.53,6
150,0.33,11.0,7.3,3.33,6
151,0.52,69.0,9.2,2.74,4
152,0.6,99.0,7.5,3.35,5
153,0.6,99.0,7.5,3.35,5
154,0.43,129.0,7.1,3.42,5
155,0.43,128.0,7.1,3.42,5
156,0.43,129.0,7.1,3.42,5
157,0.43,128.0,7.1,3.42,5
158,0.68,22.0,7.1,3.48,5
159,0.6,86.0,6.8,3.59,6
160,0.95,20.0,7.6,3.2,5
161,0.68,20.0,7.6,3.17,4
162,0.53,31.0,7.8,3.33,6
163,0.6,121.0,7.4,3.37,5
164,0.59,121.0,7.3,3.37,5
165,0.63,96.0,7.8,3.19,5
166,0.64,101.0,6.8,3.34,5
167,0.55,42.0,7.3,3.37,4
168,0.63,44.0,6.8,3.47,6
169,0.705,63.0,7.5,3.0,5
170,0.885,8.0,7.9,3.36,4
171,0.42,18.0,8.0,3.29,6
172,0.42,18.0,8.0,3.29,6
173,0.62,42.0,7.4,3.42,6
174,0.38,35.0,7.3,3.33,5
175,0.5,49.0,6.9,3.35,5
176,0.38,35.0,7.3,3.33,5
177,0.52,38.0,7.5,3.58,6
178,0.805,20.0,7.0,3.48,5
179,0.61,42.0,8.8,3.19,5
180,0.61,42.0,8.8,3.19,5
181,0.61,110.0,8.9,3.12,5
182,0.73,42.0,7.2,3.44,5
183,0.61,65.0,6.8,3.54,5
184,0.62,62.0,6.7,3.52,6
185,0.31,85.0,8.9,3.26,5
186,0.39,67.0,7.4,3.34,5
187,0.705,26.0,7.7,3.39,5
188,0.5,143.0,7.9,3.2,5
189,0.49,144.0,7.9,3.2,5
190,0.5,127.0,8.2,3.23,5
191,0.37,49.0,6.4,3.57,6
192,0.63,126.0,6.8,3.28,5
193,0.55,28.0,7.6,3.28,5
194,0.55,28.0,7.6,3.28,5
195,0.59,120.0,7.8,3.25,5
196,0.58,55.0,7.3,3.46,5
197,0.3,27.0,11.5,3.11,6
198,0.835,93.0,5.4,3.57,7
199,1.09,31.0,6.9,3.51,4
200,0.32,24.0,9.6,3.22,7
201,0.37,145.0,8.8,3.04,5
202,0.5,49.0,6.8,3.36,5
203,0.42,39.0,7.0,3.34,5
204,0.43,37.0,7.0,3.34,6
205,0.3,28.0,12.8,3.2,7
206,0.3,28.0,12.8,3.2,7
207,0.57,120.0,7.8,3.29,5
208,0.44,95.0,7.8,3.22,5
209,0.3,19.0,11.0,3.31,7
210,0.53,19.0,9.7,3.3,6
211,0.725,62.0,8.0,3.35,6
212,0.44,15.0,11.6,3.21,6
213,0.57,65.0,8.2,3.3,5
214,0.735,41.0,7.8,3.24,6
215,0.49,121.0,7.0,3.34,5
216,0.625,49.0,8.7,3.14,5
217,0.725,41.0,8.1,3.36,5
218,0.49,44.0,7.5,3.39,5
219,0.53,144.0,7.8,3.3,5
220,0.34,58.0,7.8,3.34,6
221,0.53,72.0,7.4,3.15,5
222,0.61,10.0,6.8,3.42,5
223,0.645,28.0,8.6,3.28,6
224,0.635,55.0,8.4,3.31,4
225,0.43,63.0,7.7,3.37,6
226,0.59,81.0,8.9,3.04,6
227,0.82,23.0,9.0,3.39,5
228,0.43,63.0,7.7,3.37,6
229,0.52,37.0,6.9,3.46,5
230,0.48,106.0,5.2,3.54,7
231,0.38,49.0,8.0,3.37,6
232,0.37,58.0,8.5,3.34,6
233,0.52,37.0,6.9,3.46,5
234,1.0,37.0,8.2,3.32,6
235,0.63,38.0,7.2,3.37,6
236,0.63,38.0,7.2,3.37,6
237,0.645,39.0,7.2,3.37,6
238,0.63,38.0,7.2,3.37,6
239,1.0,37.0,8.2,3.32,6
240,0.635,62.0,8.9,3.0,5
241,0.38,24.0,12.0,3.14,6
242,0.58,109.0,7.7,3.08,6
243,0.21,24.0,15.0,3.07,7
244,0.21,24.0,15.0,3.07,7
245,0.66,23.0,7.3,3.61,6
246,0.68,51.0,7.1,3.38,5
247,0.6,73.0,8.2,3.2,5
248,0.53,39.0,7.7,3.35,6
249,0.66,23.0,7.3,3.61,6
250,0.32,37.0,10.8,3.22,6
251,0.6,34.0,7.1,3.47,6
252,0.35,21.0,11.1,3.17,5
253,0.775,86.0,7.7,3.23,5
254,0.6,34.0,7.1,3.47,6
255,0.57,119.0,8.0,3.26,5
256,0.34,13.0,9.4,3.22,5
257,0.695,56.0,6.6,3.49,5
258,0.41,45.0,7.7,3.06,5
259,0.31,33.0,10.0,3.36,7
260,0.33,45.0,7.9,3.29,5
261,0.975,67.0,7.0,3.35,4
262,0.52,35.0,8.0,3.34,5
263,0.37,49.0,7.9,3.28,5
264,0.56,27.0,12.5,3.08,5
265,0.26,10.0,11.8,3.2,7
266,0.87,61.0,8.1,3.6,4
267,0.35,37.0,7.9,3.35,8
268,0.54,27.0,6.9,3.69,6
269,0.18,23.0,11.5,3.28,6
270,0.545,61.0,7.9,3.36,6
271,0.18,23.0,11.5,3.28,6
272,0.37,65.0,10.9,3.22,5
273,0.715,38.0,8.4,3.31,5
274,0.65,94.0,7.5,3.38,5
275,0.545,61.0,7.9,3.36,6
276,0.54,27.0,6.9,3.69,6
277,0.18,23.0,11.5,3.28,6
278,0.32,13.0,10.3,3.23,8
279,0.4,47.0,8.9,3.38,7
280,0.26,19.0,11.4,3.12,6
281,0.27,10.0,7.7,3.25,7
282,0.52,53.0,7.6,3.36,5
283,0.4,47.0,8.9,3.38,7
284,0.59,71.0,9.9,3.31,5
285,0.59,71.0,9.9,3.31,5
286,0.45,49.0,12.0,3.1,6
287,0.4,53.0,7.5,3.37,6
288,0.52,49.0,8.7,3.34,7
289,0.42,98.0,11.6,3.2,5
290,0.52,49.0,8.7,3.34,7
291,0.2,18.0,11.0,3.3,5
292,0.55,48.0,10.4,3.22,6
293,0.36,16.0,6.9,3.41,6
294,0.34,53.0,13.3,3.05,6
295,0.5,27.0,10.8,3.05,5
296,0.83,70.0,10.6,3.16,5
297,0.63,29.0,7.1,3.67,5
298,0.65,31.0,7.2,3.67,5
299,0.67,33.0,6.9,3.68,5
300,0.53,44.0,7.5,3.38,6
301,0.18,15.0,11.1,3.22,6
302,0.705,28.0,8.3,3.51,5
303,0.67,21.0,7.4,3.39,5
304,0.65,90.0,8.4,3.2,5
305,0.53,25.0,10.3,3.12,6
306,0.62,54.0,7.6,3.36,5
307,0.41,14.0,10.3,3.19,6
308,0.43,12.0,10.3,3.19,6
309,0.29,30.0,7.4,3.41,6
310,0.53,25.0,10.3,3.12,6
311,0.53,105.0,7.9,3.27,6
312,0.46,98.0,9.0,3.32,6
313,0.47,135.0,8.6,3.3,5
314,0.36,72.0,7.4,3.39,5
315,0.35,53.0,7.1,3.42,6
316,0.56,92.0,9.6,3.3,5
317,0.77,74.0,9.6,3.3,6
318,0.66,59.0,9.8,3.37,7
319,0.77,74.0,9.6,3.3,6
320,0.66,59.0,9.8,3.37,7
321,0.61,87.0,9.3,3.24,5
322,0.62,18.0,7.8,3.29,5
323,0.59,73.0,10.3,3.28,6
324,0.49,50.0,10.0,3.16,6
325,0.49,50.0,10.0,3.16,6
326,0.53,14.0,11.6,3.05,7
327,0.44,13.0,10.3,3.28,5
328,0.27,21.0,13.4,3.16,6
329,0.46,15.0,10.7,3.18,5
330,0.36,41.0,10.2,3.23,6
331,0.36,41.0,10.2,3.23,6
332,0.58,114.0,8.0,3.22,6
333,0.56,44.0,8.4,3.13,5
334,0.65,38.0,7.9,3.34,7
335,0.695,21.0,11.9,3.17,7
336,0.43,16.0,8.9,3.35,6
337,0.43,58.0,7.8,3.31,5
338,0.49,99.0,12.4,3.16,6
339,0.28,29.0,12.5,3.11,7
340,0.34,21.0,12.2,3.12,6
341,0.42,18.0,10.6,3.21,6
342,0.39,14.0,10.9,3.3,6
343,0.39,14.0,10.9,3.3,6
344,0.57,32.0,11.9,3.12,6
345,0.685,63.0,7.0,3.6,5
346,0.815,34.0,6.6,3.58,7
347,0.49,15.0,13.8,3.02,6
348,0.56,46.0,9.6,3.11,6
349,0.785,28.0,9.1,3.36,6
350,0.67,34.0,10.7,3.28,6
351,0.795,26.0,9.1,3.35,6
352,0.665,19.0,7.7,3.27,5
353,0.53,77.0,13.5,3.18,5
354,0.21,165.0,6.1,3.25,6
355,0.75,32.0,6.7,3.55,6
356,0.41,55.0,11.5,3.26,5
357,0.42,29.0,10.5,3.24,7
358,0.43,23.0,11.9,3.15,7
359,0.38,41.0,12.6,3.17,6
360,0.7,81.0,8.2,3.19,5
361,0.45,50.0,8.6,3.37,6
362,0.58,37.0,11.9,3.05,5
363,0.46,15.0,12.5,2.99,5
364,0.615,42.0,12.8,3.07,7
365,0.42,21.0,10.0,3.26,6
366,0.615,42.0,12.8,3.07,7
367,0.575,24.0,10.4,3.16,5
368,0.34,75.0,10.3,3.18,5
369,0.27,18.0,9.4,3.2,7
370,0.765,63.0,6.9,3.57,5
371,0.24,25.0,7.9,3.32,6
372,0.28,46.0,9.1,3.32,6
373,0.55,72.0,7.4,3.05,5
374,0.41,47.0,14.0,3.01,6
375,0.54,15.0,11.5,3.01,7
376,0.45,47.0,11.5,3.26,6
377,0.27,18.0,9.4,3.2,7
378,0.625,24.0,11.4,3.11,6
379,0.42,60.0,8.3,3.31,6
380,0.26,27.0,8.3,3.21,6
381,0.415,43.0,13.7,3.06,6
382,0.26,27.0,8.3,3.21,6
383,0.26,27.0,8.3,3.21,6
384,0.51,54.0,7.7,3.42,5
385,0.63,37.0,7.4,3.43,6
386,0.54,48.0,7.8,3.41,6
387,0.66,42.0,8.3,3.31,6
388,0.46,53.0,7.8,3.43,6
389,0.38,49.0,9.6,3.19,7
390,0.85,88.0,5.6,3.56,8
391,0.415,43.0,13.7,3.06,6
392,0.37,26.0,9.5,3.18,5
393,0.665,95.0,8.4,3.16,5
394,0.6,25.0,12.7,3.03,5
395,0.37,38.0,12.0,3.22,7
396,0.735,124.0,6.6,3.47,5
397,0.59,49.0,11.5,3.18,6
398,0.59,49.0,11.5,3.18,6
399,0.765,42.0,8.7,3.1,5
400,0.735,124.0,6.6,3.47,5
401,0.26,38.0,7.7,3.29,6
402,0.48,64.0,12.2,3.1,6
403,0.6,41.0,11.4,3.15,6
404,0.69,27.0,7.7,3.26,5
405,0.31,25.0,8.7,3.36,6
406,0.44,28.0,9.8,3.24,6
407,0.39,30.0,12.0,3.18,7
408,0.34,16.0,10.4,3.19,6
409,0.46,49.0,12.5,3.05,4
410,0.43,86.0,9.0,3.38,6
411,0.45,78.0,9.1,3.38,5
412,0.735,77.0,7.1,3.27,5
413,0.4,19.0,9.9,3.27,7
414,0.52,122.0,8.8,3.26,5
415,0.725,134.0,8.6,3.32,5
416,0.48,20.0,10.6,3.26,6
417,0.58,124.0,7.0,3.44,5
418,0.38,20.0,11.9,3.24,6
419,0.77,52.0,6.8,3.62,5
420,0.56,67.0,9.5,3.28,7
421,0.84,48.0,6.6,3.52,7
422,0.96,60.0,7.7,3.36,5
423,0.24,24.0,10.5,3.15,7
424,0.96,60.0,7.7,3.36,5
425,0.84,48.0,6.6,3.52,7
426,0.67,48.0,6.4,3.49,6
427,0.78,32.0,9.5,3.26,6
428,0.52,30.0,9.1,3.24,5
429,0.84,35.0,12.8,3.1,6
430,0.24,24.0,10.5,3.15,7
431,0.55,66.0,7.8,3.25,5
432,0.37,24.0,11.9,3.0,6
433,0.39,18.0,12.3,3.16,5
434,0.41,54.0,10.4,3.15,6
435,0.39,18.0,12.3,3.16,5
436,0.67,62.0,8.0,3.26,6
437,0.45,22.0,11.1,3.17,6
438,0.41,54.0,10.4,3.15,6
439,0.62,50.0,7.0,3.08,5
440,0.31,29.0,12.6,2.88,8
441,0.4,27.0,11.9,3.06,6
442,0.685,43.0,15.6,2.95,7
443,0.44,19.0,10.0,3.23,7
444,0.57,27.0,5.3,3.57,7
445,0.735,31.0,9.5,3.23,6
446,0.38,72.0,12.5,3.1,5
447,0.48,16.0,9.3,3.22,5
448,0.53,27.0,8.6,3.2,6
449,0.39,35.0,11.9,3.1,6
450,0.39,35.0,11.9,3.1,6
451,0.37,26.0,8.4,3.06,6
452,0.56,35.0,6.8,3.44,6
453,0.33,22.0,10.4,3.26,7
454,0.23,67.0,7.0,3.5,5
455,0.62,19.0,11.3,3.22,8
456,0.59,22.0,8.9,3.37,5
457,0.63,65.0,9.2,3.28,5
458,0.33,22.0,10.4,3.26,7
459,0.58,47.0,11.6,3.25,3
460,0.43,23.0,9.2,3.35,6
461,0.615,19.0,8.3,3.26,5
462,0.26,25.0,11.0,3.18,5
463,0.66,129.0,8.1,3.08,5
464,0.315,15.0,11.5,2.98,6
465,0.29,26.0,10.0,3.48,5
466,0.5,51.0,10.3,3.16,6
467,0.46,18.0,8.8,3.32,6
468,0.36,21.0,11.4,3.17,6
469,0.82,48.0,8.7,3.2,5
470,0.32,47.0,13.0,3.05,5
471,0.54,52.0,9.6,3.2,6
472,0.37,68.0,12.5,3.15,6
473,0.35,14.0,9.9,3.26,5
474,0.28,24.0,10.5,3.2,6
475,0.68,28.0,9.6,3.14,5
476,0.27,16.0,9.3,3.28,5
477,0.24,20.0,10.4,3.18,6
478,0.68,28.0,9.6,3.14,5
479,0.685,31.0,9.4,3.19,6
480,0.28,23.0,10.6,3.12,5
481,0.3,17.0,9.4,3.15,8
482,0.36,18.0,10.6,3.04,5
483,0.36,18.0,10.6,3.04,5
484,0.44,24.0,10.6,3.06,6
485,0.67,17.0,10.2,3.17,5
486,0.67,17.0,10.2,3.17,5
487,0.645,14.0,10.2,3.17,6
488,0.32,67.0,11.6,3.32,7
489,0.39,26.0,9.3,3.34,6
490,0.775,56.0,9.3,3.31,6
491,0.41,25.0,9.2,3.34,7
492,0.4,27.0,8.9,3.32,7
493,0.69,81.0,8.7,3.48,6
494,0.39,91.0,6.5,3.44,6
495,0.35,16.0,10.7,3.15,8
496,0.52,38.0,7.8,3.43,6
497,0.34,113.0,7.2,3.32,5
498,0.35,16.0,10.7,3.15,8
499,0.69,81.0,8.7,3.48,6
500,0.52,38.0,7.8,3.43,6
501,0.44,76.0,10.4,3.17,7
502,0.44,76.0,10.4,3.17,7
503,0.26,24.0,10.5,3.18,7
504,0.24,22.0,10.5,3.21,7
505,0.49,26.0,10.2,3.16,7
506,0.24,21.0,10.4,3.25,7
507,0.67,13.0,11.2,3.17,6
508,0.59,62.0,10.0,3.18,6
509,0.29,43.0,13.3,3.04,7
510,0.42,43.0,12.4,3.02,5
511,0.59,62.0,10.0,3.18,6
512,0.4,49.0,10.7,3.03,6
513,0.51,15.0,10.5,3.09,7
514,0.51,15.0,10.5,3.09,7
515,0.655,151.0,8.5,3.31,5
516,0.6,14.0,12.5,3.25,6
517,0.61,16.0,10.4,3.16,3
518,0.21,32.0,10.9,3.22,6
519,0.365,106.0,7.3,3.36,5
520,0.25,33.0,9.8,3.42,6
521,0.41,43.0,7.6,3.48,5
522,0.39,133.0,8.2,3.38,5
523,0.4,142.0,9.3,3.22,5
524,0.43,116.0,9.2,3.23,5
525,0.64,53.0,10.4,3.24,5
526,0.365,106.0,7.3,3.36,5
527,0.38,85.0,7.0,3.39,6
528,0.42,55.0,8.2,3.34,6
529,0.63,33.0,9.9,3.09,5
530,0.22,28.0,9.1,3.41,6
531,0.38,42.0,11.9,3.16,5
532,0.38,42.0,11.9,3.16,5
533,0.27,33.0,10.3,3.22,6
534,0.48,32.0,10.0,3.28,6
535,0.22,28.0,9.1,3.41,6
536,0.63,33.0,9.9,3.09,5
537,0.825,13.0,8.1,3.37,6
538,0.35,35.0,12.9,3.2,7
539,0.5,17.0,11.2,3.22,5
540,0.59,47.0,9.2,3.26,5
541,0.46,17.0,9.5,3.21,6
542,0.715,20.0,9.3,3.12,5
543,0.66,53.0,11.2,3.06,6
544,0.31,15.0,14.3,2.86,6
545,0.47,106.0,9.1,3.08,5
546,0.55,28.0,7.5,3.45,6
547,0.31,21.0,10.6,3.26,6
548,0.35,69.0,12.4,3.12,6
549,0.53,25.0,9.0,3.27,6
550,0.51,25.0,6.8,3.33,6
551,0.43,45.0,9.4,3.19,6
552,0.46,44.0,9.5,3.12,6
553,1.04,96.0,5.0,3.74,5
554,0.645,23.0,15.5,2.92,5
555,0.645,23.0,15.5,2.92,5
556,0.53,17.0,10.9,3.07,6
557,0.645,23.0,15.6,2.92,5
558,0.53,17.0,10.9,3.07,6
559,0.47,47.0,13.0,3.3,6
560,0.6,19.0,12.7,3.14,5
561,0.44,121.0,9.0,3.23,5
562,0.54,110.0,9.0,3.08,5
563,0.29,60.0,7.6,3.31,6
564,0.47,47.0,13.0,3.3,6
565,0.6,19.0,12.7,3.14,5
566,0.7,15.0,8.7,3.32,6
567,0.7,15.0,8.7,3.32,6
568,0.5,20.0,9.8,3.31,6
569,0.36,42.0,6.2,3.57,6
570,0.35,37.0,11.5,3.32,6
571,0.36,42.0,6.2,3.57,6
572,0.24,28.0,10.2,3.14,5
573,0.59,47.0,10.5,3.3,4
574,0.34,78.0,10.6,3.19,6
575,0.27,46.0,12.3,3.2,6
576,0.5,14.0,9.9,3.34,4
577,0.44,111.0,8.8,3.3,5
578,0.47,110.0,8.8,3.29,5
579,0.31,40.0,10.6,3.14,6
580,0.5,14.0,12.3,3.19,5
581,0.5,14.0,12.3,3.19,5
582,0.49,15.0,11.7,3.19,5
583,0.28,21.0,12.0,2.98,7
584,0.33,80.0,11.8,3.3,7
585,0.51,38.0,7.6,3.47,6
586,0.31,47.0,11.1,3.12,7
587,0.73,102.0,7.3,3.26,5
588,0.42,50.0,5.0,3.72,8
589,0.29,13.0,10.2,3.05,7
590,0.45,75.0,9.0,3.35,5
591,0.39,149.0,6.6,3.12,6
592,0.45,75.0,9.0,3.35,5
593,0.49,43.0,9.9,3.29,5
594,0.72,38.0,7.9,3.4,5
595,0.595,109.0,8.9,3.27,5
596,0.4,24.0,12.4,3.04,6
597,0.58,18.0,11.9,3.09,6
598,0.585,30.0,8.5,3.2,6
599,0.59,22.0,12.7,3.0,6
600,0.915,23.0,8.2,3.26,4
601,0.46,35.0,13.2,3.1,6
602,0.835,14.0,7.7,3.3,5
603,0.46,35.0,13.2,3.1,6
604,0.58,63.0,8.3,3.17,6
605,0.6,24.0,8.3,3.31,6
606,0.41,20.0,9.4,3.34,7
607,0.48,52.0,8.8,3.31,6
608,0.65,65.0,10.1,3.32,6
609,0.36,39.0,6.3,3.56,6
610,0.24,57.0,8.8,3.39,5
611,0.38,16.0,13.2,2.98,5
612,0.64,29.0,7.5,3.32,6
613,0.39,29.0,8.2,3.26,5
614,0.755,103.0,9.2,2.87,6
615,0.6,71.0,9.6,3.5,5
616,0.6,71.0,9.6,3.5,5
617,0.31,28.0,11.5,3.03,6
618,0.46,17.0,11.4,3.13,5
619,0.37,16.0,11.3,3.09,5
620,0.54,112.0,8.3,3.27,5
621,0.56,104.0,8.2,3.28,5
622,0.58,32.0,10.0,3.13,5
623,0.51,45.0,7.9,3.49,6
624,0.69,58.0,6.8,3.46,5
625,0.69,58.0,6.8,3.46,5
626,0.6,15.0,8.8,3.36,5
627,0.6,15.0,8.8,3.36,5
628,0.54,31.0,8.7,3.27,6
629,0.685,84.0,7.6,3.21,5
630,0.54,31.0,8.7,3.27,6
631,0.28,19.0,10.4,3.25,5
632,0.41,43.0,7.6,3.32,6
633,0.935,86.0,10.1,3.43,4
634,0.35,102.0,7.9,3.27,5
635,0.84,33.0,8.7,3.27,5
636,0.88,147.0,9.6,3.24,5
637,0.885,145.0,9.5,3.24,5
638,0.915,23.0,7.7,3.35,7
639,0.29,57.0,8.9,3.18,6
640,0.54,40.0,9.9,3.39,5
641,0.59,68.0,9.5,3.46,5
642,0.54,40.0,9.9,3.39,5
643,0.59,68.0,9.5,3.46,5
644,0.54,40.0,9.9,3.39,5
645,0.64,11.0,7.8,3.37,7
646,0.67,20.0,7.3,3.4,5
647,0.845,14.0,8.3,3.32,4
648,0.48,28.0,8.7,3.33,7
649,0.42,148.0,6.7,3.16,6
650,0.43,32.0,10.7,2.89,5
651,0.88,155.0,9.8,3.41,5
652,0.36,71.0,15.9,2.98,5
653,0.33,30.0,9.4,3.12,6
654,0.47,29.0,8.6,3.08,5
655,0.55,53.0,9.7,3.14,5
656,0.43,32.0,10.7,2.89,5
657,0.5,42.0,12.0,2.92,7
658,0.52,20.0,7.2,3.32,6
659,0.84,13.0,7.1,3.41,4
660,0.52,20.0,7.2,3.32,6
661,0.42,42.0,7.5,3.31,5
662,0.57,27.0,7.2,3.36,6
663,0.28,13.0,10.1,3.04,6
664,0.4,54.0,12.1,3.03,5
665,0.59,48.0,9.4,3.14,5
666,0.49,16.0,8.3,3.18,6
667,0.34,15.0,11.3,2.94,6
668,0.73,31.0,10.0,3.15,5
669,0.34,15.0,11.3,2.94,6
670,0.4,45.0,6.9,3.26,5
671,0.73,13.0,8.2,3.2,5
672,1.24,151.0,9.8,3.15,5
673,0.73,13.0,8.2,3.2,5
674,0.4,17.0,10.8,3.08,6
675,0.41,31.0,9.3,3.26,5
676,0.4,17.0,10.8,3.08,6
677,0.8,31.0,8.6,3.4,5
678,0.78,87.0,8.3,3.48,5
679,0.26,49.0,10.8,3.13,5
680,0.43,40.0,13.3,3.06,5
681,0.45,29.0,8.0,3.21,6
682,0.46,58.0,8.5,3.33,5
683,0.78,15.0,8.1,3.37,5
684,0.98,152.0,9.8,3.25,5
685,0.78,15.0,8.1,3.37,5
686,0.65,40.0,7.1,3.44,5
687,0.64,38.0,9.1,3.28,5
688,0.66,9.0,7.7,3.4,5
689,0.38,17.0,8.1,3.3,5
690,1.185,14.0,7.4,3.63,3
691,0.92,93.0,9.2,3.48,5
692,0.49,62.0,8.6,3.03,5
693,0.48,122.0,9.0,3.32,5
694,0.47,125.0,9.0,3.31,5
695,0.47,44.0,5.1,3.9,6
